"id","version","scales","formula","scale1","scale2","description","scale3","scada_recipe_name"
1,"LWSM","[""WG101"", ""WG302"", ""DM101"", ""DM102""]","(WG101-WG302)+(DM101+DM102)","WG302",NULL,NULL,NULL,NULL
3,"CKF1","[""WG502""]","WG502","WG501","WG503",NULL,NULL,"F80 + F70"
7,"IWSM","[""WG101"", ""WG302""]","(WG101-WG302)","WG302",NULL,NULL,NULL,NULL
8,"SWSM","[""WG101"", ""WG302""]","(WG101-WG302)","WG302",NULL,NULL,NULL,NULL
9,"CWIM","[""WG201"", ""WG301"", ""DM201"", ""DM202"", ""DM203""]","(WG201-WG301)+(DM201+DM202+DM203)","WG301",NULL,NULL,NULL,NULL
10,"CWLM","[""WG201"", ""WG301"", ""DM201"", ""DM202"", ""DM203""]","(WG201-WG301)+(DM201+DM202+DM203)","WG301",NULL,NULL,NULL,NULL
11,"CWMM","[""WG201"", ""WG301"", ""DM201"", ""DM202"", ""DM203""]","(WG201-WG301)+(DM201+DM202+DM203)","WG301",NULL,NULL,NULL,NULL
12,"CWSM","[""WG201"", ""WG301"", ""DM201"", ""DM202"", ""DM203""]","(WG201-WG301)+(DM201+DM202+DM203)","WG301",NULL,NULL,NULL,NULL
13,"IWF1","[""WG502""]","WG502","WG501","WG503",NULL,NULL,"F80 + IWW"
14,"IWF2","[""WG502""]","WG502","WG501","WG503",NULL,NULL,"F70 + IWW"
15,"BKF1","[""WG501""]","WG501","WG503",NULL,"BKF1",NULL,"F80"
16,"BRF2","[""WG501""]","WG501","WG503",NULL,NULL,NULL,"F80 + F95"
17,"BRF3","[""WG501""]","WG501","WG502","WG503",NULL,NULL,"F95 + F70"
18,"MMCF","[""WG502""]","WG502","WG501","WG503",NULL,NULL,"F80 + F70"
