"id","version","palletizer","bag_size_kg","bags_per_pallet","kg_per_pallet","created_at","description"
1,"CKL1","PL601","32.00",1,"45.00","2025-11-13 21:19:08.145414",NULL
2,"BKL1","PL601","32.00",1,"45.00","2025-11-15 23:04:09.302406",NULL
3,"BK05","PL607","120.00",1,"5.00","2025-12-22 12:15:23.540502","BK05 version"
35,"CKL2","PL602","32.00",1,"45.00","2025-12-28 21:12:36.075842",NULL
36,"BKL2","PL602","32.00",1,"45.00","2025-12-28 21:13:13.456645",NULL
37,"BWL1","PL601","32.00",1,"45.00","2025-12-28 21:13:54.178991",NULL
38,"BWL2","PL602","32.00",1,"45.00","2025-12-28 21:15:17.543496",NULL
39,"IWL1","PL601","32.00",1,"45.00","2025-12-28 21:15:43.207954",NULL
40,"IWL2","PL602","32.00",1,"45.00","2025-12-28 21:17:18.652341",NULL
41,"BK10","PL607","10.00",110,"1200.00","2025-12-28 21:18:00.227329",NULL
42,"BW10","PL607","110.00",1,"10.00","2025-12-28 21:20:08.58224",NULL
43,"IW10","PL607","110.00",1,"10.00","2025-12-28 21:20:42.885211",NULL
44,"CK10","PL607","110.00",1,"10.00","2025-12-28 21:21:14.462097",NULL
45,"EB25","PL603","24.00",1,"25.00","2025-12-28 21:21:49.396934",NULL
46,"BR40","PL603","24.00",1,"40.00","2025-12-28 21:23:46.732187",NULL
47,"CM01","PL606","1200.00",1,"1.00","2025-12-28 21:24:14.382729",NULL
48,"BM01","PL606","1200.00",1,"1.00","2025-12-28 21:25:03.661606",NULL
49,"QRC1","PL606","1200.00",1,"1.00","2025-12-28 21:27:41.107769",NULL
50,"QRW1","PL606","1200.00",1,"1.00","2026-01-01 03:53:22.8245",NULL
51,"MM01","PL606","1200.00",1,"1.00","2026-01-01 03:53:54.321835",NULL
53,"CK05","PL607","110.00",1,"5.00","2026-01-01 03:55:30.951093",NULL
